Rank,Country,GDP_Nominal,GDP_Billions,Year
151,Kosovo,14053.0,14053.0,2026
152,Equatorial Guinea,13722.0,13722.0,2026
153,Togo,13437.0,13437.0,2026
154,Montenegro,10227.0,10227.0,2026
155,Liechtenstein,9442.0,9442.0,2026
156,Barbados,8483.0,8483.0,2026
157,Sierra Leone,8270.0,8270.0,2026
158,Burundi,8137.0,8137.0,2026
159,Maldives,8130.0,8130.0,2026
160,Yemen,7435.0,7435.0,2026
161,Fiji,6352.0,6352.0,2026
162,South Sudan,6069.0,6069.0,2026
163,Suriname,5908.0,5908.0,2026
164,Eswatini,5792.0,5792.0,2026
165,Liberia,5642.0,5642.0,2026
166,Andorra,4879.0,4879.0,2026
167,Djibouti,4725.0,4725.0,2026
168,Aruba,4671.0,4671.0,2026
169,Bhutan,3856.0,3856.0,2026
170,Central African Republic,3492.0,3492.0,2026
171,Belize,3450.0,3450.0,2026
172,Cape Verde,3448.0,3448.0,2026
173,Guinea-Bissau,2985.0,2985.0,2026
174,Lesotho,2972.0,2972.0,2026
175,Gambia,2792.0,2792.0,2026
176,Saint Lucia,2765.0,2765.0,2026
177,San Marino,2417.0,2417.0,2026
178,Antigua and Barbuda,2385.0,2385.0,2026
179,Seychelles,2251.0,2251.0,2026
180,Timor-Leste,2170.0,2170.0,2026
181,Solomon Islands,1836.0,1836.0,2026
182,Comoros,1814.0,1814.0,2026
183,Grenada,1483.0,1483.0,2026
184,Vanuatu,1396.0,1396.0,2026
185,Samoa,1376.0,1376.0,2026
186,Saint Vincent and the Grenadines,1236.0,1236.0,2026
187,São Tomé and Príncipe,1161.0,1161.0,2026
188,Saint Kitts and Nevis,1143.0,1143.0,2026
189,American Samoa,981.0,981.0,2026
190,Dominica,791.0,791.0,2026
191,Tonga,716.0,716.0,2026
192,Federated States of Micronesia,521.0,521.0,2026
193,Anguilla,512.0,512.0,2026
194,Kiribati,401.0,401.0,2026
195,Palau,377.0,377.0,2026
196,Marshall Islands,342.0,342.0,2026
197,Nauru,196.0,196.0,2026
198,Tuvalu,65.0,65.0,2026
